sample	Pop	Count_LinesInFile	Count_HomDer_Calls	Count_Het_Calls	Count_HomAnc_Calls	Total_DerAlleles	Count_HomDerSyn_Calls	Count_HomDerNonSyn_Calls	Count_HomDerLOF_Calls	Count_HetSyn_Calls	Count_HetNonSyn_Calls	Count_HetLOF_Calls	Total_DerAlleles_SYN	Total_DerAlleles_NONSYN	Total_DerAlleles_LOF	Ct_Lines_HomDerNoGERPScore	Ct_Lines_HetNoGERPScore	GERPScore_AllDerAlleles	GERPScore_HomDerSites	av_GERP_Total_DerAlleles	av_GERP_Total_HomDer_Sites	Ct_NONSYNDeralleles_GERPmt4	Ct_SYNDeralleles_GERPlt2	Count_SYN_homder_calls_GERPlt2	Count_NON_homder_calls_GERPmt4	Count_SYN_het_calls_GERPlt2	Count_NON_het_calls_GERPmt4	count_LOF_site_called	count_syn_site_called	count_nonsyn_site_called	count_LOF_site_called	count_synlt2_site_called	count_nonsynmt4_site_called
CR004_847	CR	693279	9524	7944	675811	26992	5748	3755	21	4329	3587	28	15825	11097	70	0	1.0	-27581.301	-11570.649	-1.02194601504	-1.21502142182	2988	12122	4444	947	3234	1094	8612	262729	421938	8612	185273	219007
CR004_849	CR	693279	9453	8177	675649	27083	5698	3733	22	4477	3679	21	15873	11145	65	0	1.0	-27743.502	-11515.928	-1.02450155096	-1.21835886585	2971	12141	4405	915	3331	1141	8612	262729	421938	8612	185273	219007
CR004_850	CR	693279	9397	8368	675514	27162	5651	3726	20	4581	3765	22	15883	11217	62	0	1.0	-27848.43	-11663.647	-1.02538495526	-1.24134174117	3001	12163	4383	918	3397	1165	8612	262729	421938	8612	185273	219007
CR004_876	CR	693279	9442	8215	675622	27099	5671	3753	18	4532	3653	30	15874	11159	66	0	1.0	-27341.099	-11413.531	-1.00904557868	-1.20893242241	2973	12085	4383	922	3319	1129	8612	262729	421938	8612	185273	219007
CR004_887	CR	693279	9269	8494	675516	27032	5604	3640	25	4637	3828	29	15845	11108	79	0	0.0	-27136.366	-11369.527	-1.00400939766	-1.22688324161	2952	12109	4348	900	3413	1152	8612	262729	421938	8612	185273	219007
CR006_1955	CR	693279	9314	8492	675473	27120	5582	3711	21	4624	3842	26	15788	11264	68	0	1.0	-27200.13	-11536.895	-1.0030656046	-1.23879469559	3049	12058	4307	908	3444	1233	8612	262729	421938	8612	185273	219007
CR006_6228	CR	693279	9267	8552	675460	27086	5588	3659	20	4693	3833	26	15869	11151	66	0	1.0	-27729.245	-11733.333	-1.02386164753	-1.26627811353	2982	12106	4323	889	3460	1204	8612	262729	421938	8612	185273	219007
CR006_6229	CR	693279	9322	8407	675550	27051	5612	3687	23	4574	3813	20	15798	11187	66	0	1.0	-27101.509	-11533.837	-1.00197829784	-1.23740339019	3018	12024	4329	913	3366	1192	8612	262729	421938	8612	185273	219007
CR006_6230	CR	693279	9294	8493	675492	27081	5638	3638	18	4574	3888	31	15850	11164	67	0	1.0	-27456.307	-11425.115	-1.01397100968	-1.22943236845	2943	12104	4356	879	3392	1185	8612	262729	421938	8612	185273	219007
CR006_6231	CR	693279	9253	8548	675478	27054	5540	3696	17	4692	3826	30	15772	11218	64	0	1.0	-26921.982	-11171.074	-0.995230564489	-1.20742261133	3005	12051	4308	925	3435	1155	8612	262729	421938	8612	185273	219007
